#{"t_start": 1775585549.7328336, "env_id": "None"}
r,l,t
13.0,10,9.240871
9.0,10,9.263771
4.0,10,9.291408
9.0,10,9.32693
4.0,10,9.354745
9.0,10,9.379178
8.0,10,9.4052
7.0,10,9.436665
7.0,10,9.464275
10.0,10,9.48883
11.0,10,9.517902
3.0,10,9.547641
11.0,10,9.571825
8.0,10,9.601735
5.0,10,9.630723
4.0,10,9.664189
13.0,10,9.692006
10.0,10,9.720276
13.0,10,9.749881
13.0,10,9.783399
9.0,10,9.810946
9.0,10,9.837198
9.0,10,9.863567
13.0,10,9.896386
11.0,10,9.920987
13.0,10,9.951245
13.0,10,9.976483
5.0,10,10.005623
13.0,10,10.035653
8.0,10,10.063591
13.0,10,10.089509
13.0,10,10.12099
9.0,10,10.148888
10.0,10,10.176478
11.0,10,10.200283
11.0,10,10.23113
11.0,10,10.259269
13.0,10,10.285393
11.0,10,10.312656
13.0,10,10.347144
13.0,10,10.377057
7.0,10,10.40456
6.0,10,10.431296
11.0,10,10.462304
8.0,10,10.485574
13.0,10,10.509156
10.0,10,10.531486
8.0,10,10.563148
10.0,10,10.591075
13.0,10,10.615938
11.0,10,10.640922
11.0,10,10.675677
6.0,10,10.706134
11.0,10,10.736988
9.0,10,10.76406
11.0,10,10.795819
10.0,10,10.8205
4.0,10,10.848599
6.0,10,10.879027
13.0,10,10.908741
13.0,10,10.934111
4.0,10,10.95954
13.0,10,10.985179
9.0,10,11.010789
11.0,10,11.033103
3.0,10,11.063159
13.0,10,11.093692
13.0,10,11.122518
13.0,10,11.152538
11.0,10,11.180045
11.0,10,11.205802
13.0,10,11.233855
9.0,10,11.261751
13.0,10,11.286289
13.0,10,11.313566
10.0,10,11.342662
11.0,10,11.370394
9.0,10,11.398585
10.0,10,11.428566
9.0,10,11.462914
11.0,10,11.491477
10.0,10,11.514566
13.0,10,11.538673
8.0,10,11.570019
11.0,10,11.596614
13.0,10,11.623467
13.0,10,11.650932
6.0,10,11.680877
13.0,10,11.708011
13.0,10,11.737084
13.0,10,11.770125
13.0,10,11.800958
11.0,10,11.832041
11.0,10,11.861554
8.0,10,11.889113
13.0,10,11.918915
11.0,10,11.947521
8.0,10,11.974543
9.0,10,12.001786
11.0,10,12.033007
11.0,10,12.063172
13.0,10,12.089449
10.0,10,12.118787
13.0,10,12.149244
13.0,10,12.174856
8.0,10,12.203027
10.0,10,12.23098
8.0,10,12.257827
13.0,10,12.287526
10.0,10,12.311458
13.0,10,12.337572
13.0,10,12.367814
13.0,10,12.392874
13.0,10,12.416426
11.0,10,12.447146
13.0,10,12.482099
13.0,10,12.5106
13.0,10,12.536706
13.0,10,12.567106
13.0,10,12.604471
13.0,10,12.632829
13.0,10,12.661218
11.0,10,12.6889
11.0,10,12.721096
11.0,10,12.748737
13.0,10,12.772391
11.0,10,12.799499
13.0,10,12.827767
11.0,10,12.854906
13.0,10,12.882633
13.0,10,12.914102
13.0,10,12.952259
13.0,10,12.983858
13.0,10,13.012415
13.0,10,13.037212
13.0,10,13.064935
13.0,10,13.091979
13.0,10,13.117127
13.0,10,13.142975
13.0,10,13.173857
13.0,10,13.202464
11.0,10,13.228062
13.0,10,13.250138
11.0,10,13.283001
10.0,10,13.310984
13.0,10,13.339647
13.0,10,13.365352
13.0,10,13.394716
10.0,10,13.425329
13.0,10,13.453128
11.0,10,13.479837
13.0,10,13.507965
13.0,10,13.537782
13.0,10,13.570045
9.0,10,13.602564
11.0,10,13.640877
13.0,10,13.671244
13.0,10,13.698349
9.0,10,13.727535
13.0,10,13.757237
10.0,10,13.783035
10.0,10,13.80716
13.0,10,13.837723
9.0,10,13.864123
13.0,10,13.890709
11.0,10,13.919453
13.0,10,13.947956
13.0,10,13.984202
13.0,10,14.014059
11.0,10,14.042344
13.0,10,14.066601
13.0,10,14.099711
8.0,10,14.127568
13.0,10,14.155529
13.0,10,14.180453
13.0,10,14.214389
10.0,10,14.242952
13.0,10,14.272363
13.0,10,14.300743
9.0,10,14.333286
13.0,10,14.359136
13.0,10,14.385758
13.0,10,14.416701
13.0,10,14.450218
11.0,10,14.475841
13.0,10,14.502562
13.0,10,14.531273
13.0,10,14.563896
8.0,10,14.592608
11.0,10,14.621437
13.0,10,14.647845
7.0,10,14.68292
